use_case,algorithm,shape,maze_file,time_sec,path_len_cells,path_len_euclidean,nodes_explored,notes
UC1_BasicPathfinding,ThetaStar,Circle,BEST_Circle_100x100_Kruskal.maze,0.010643,126,215.8823,4082,path_length=125
UC1_BasicPathfinding,BidirectionalDijkstra,Circle,BEST_Circle_100x100_Kruskal.maze,0.005756,245,244.0000,2878,path_length=244
UC1_BasicPathfinding,DStarLite,Circle,BEST_Circle_100x100_Kruskal.maze,0.029701,245,244.0000,3417,path_length=244
UC1_BasicPathfinding,ALT,Circle,BEST_Circle_100x100_Kruskal.maze,0.123018,245,244.0000,1509,path_length=244
UC1_BasicPathfinding,AHPP,Circle,BEST_Circle_100x100_Kruskal.maze,0.067471,2,99.8499,578,path_length=1
UC1_BasicPathfinding,ThetaStar,Cross,BEST_Cross_100x100_Eller.maze,0.006242,125,256.4975,2364,path_length=124
UC1_BasicPathfinding,BidirectionalDijkstra,Cross,BEST_Cross_100x100_Eller.maze,0.005414,278,277.0000,3035,path_length=277
UC1_BasicPathfinding,DStarLite,Cross,BEST_Cross_100x100_Eller.maze,0.034858,278,277.0000,4392,path_length=277
UC1_BasicPathfinding,ALT,Cross,BEST_Cross_100x100_Eller.maze,0.036386,278,277.0000,1639,path_length=277
UC1_BasicPathfinding,AHPP,Cross,BEST_Cross_100x100_Eller.maze,0.045761,2,104.0433,550,path_length=1
UC1_BasicPathfinding,ThetaStar,Diamond,BEST_Diamond_100x100_Eller.maze,0.011368,0,0.0000,4357,path_length=-1
UC1_BasicPathfinding,BidirectionalDijkstra,Diamond,BEST_Diamond_100x100_Eller.maze,0.008094,0,0.0000,4366,path_length=-1
UC1_BasicPathfinding,DStarLite,Diamond,BEST_Diamond_100x100_Eller.maze,0.001391,0,0.0000,9,path_length=-1
UC1_BasicPathfinding,ALT,Diamond,BEST_Diamond_100x100_Eller.maze,0.041103,0,0.0000,4357,path_length=-1
UC1_BasicPathfinding,AHPP,Diamond,BEST_Diamond_100x100_Eller.maze,0.045422,2,99.0051,474,path_length=1
UC1_BasicPathfinding,ThetaStar,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.010073,212,382.1665,3776,path_length=211
UC1_BasicPathfinding,BidirectionalDijkstra,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.012146,423,422.0000,6140,path_length=422
UC1_BasicPathfinding,DStarLite,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.077331,423,422.0000,9625,path_length=422
UC1_BasicPathfinding,ALT,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.177914,423,422.0000,2421,path_length=422
UC1_BasicPathfinding,AHPP,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.089971,2,140.0071,978,path_length=1
UC1_BasicPathfinding,ThetaStar,Star,BEST_Star_100x100_Eller.maze,0.005984,0,0.0000,2204,path_length=-1
UC1_BasicPathfinding,BidirectionalDijkstra,Star,BEST_Star_100x100_Eller.maze,0.003523,0,0.0000,2205,path_length=-1
UC1_BasicPathfinding,DStarLite,Star,BEST_Star_100x100_Eller.maze,0.001013,0,0.0000,1,path_length=-1
UC1_BasicPathfinding,ALT,Star,BEST_Star_100x100_Eller.maze,0.025085,0,0.0000,2204,path_length=-1
UC1_BasicPathfinding,AHPP,Star,BEST_Star_100x100_Eller.maze,0.034587,0,0.0000,167,path_length=-1
UC1_BasicPathfinding,ThetaStar,Triangle,BEST_Triangle_100x100_Prim.maze,0.010615,87,221.1127,3600,path_length=86
